,Rn
0,1.7976532630563948
1,2.3136482516404575
2,2.333856722844097
3,2.31520224961372
4,2.34776737862861
5,2.157184080480275
6,1.9076271453886218
7,1.7612575364964966
8,1.660992495207636
9,1.8203711822155233
10,1.7268419774944146
11,1.788748505350716
12,1.7887866353906512
13,1.6828666923697586
14,1.939871250297756
15,2.374620768664108
16,2.183785393872798
17,2.4676950757621734
18,2.14711559786927
19,2.7119221205409145
20,2.988076449143751
21,2.685300305150149
22,2.717068579965016
23,2.8042474355078415
24,2.551532779142936
25,2.8736508667021052
26,2.9771318168509433
27,3.156536280093108
28,3.6404037913061957
29,3.2358243780721727
30,3.3740308931964176
31,3.5300595366353456
32,3.5658980739339885
33,3.3268224077205293
34,3.2499393034446973
35,3.089038038541571
36,4.280605771391466
37,4.018747640720692
38,3.2853406833704835
39,3.407731585957651
40,4.0613513128581875
41,4.3627989105066405
42,4.662990997193856
43,3.413298487077594
44,4.7167224240068615
45,4.46589346609746
46,5.0493241512307785
47,3.6754761208216062
48,3.676777928049221
49,4.757069021845037
50,5.544321732122459
51,5.16876205586513
52,4.27054101671785
53,4.573068237803353
54,5.290891316599154
55,4.199762595393812
56,6.6150635862803355
57,4.239663312992037
58,6.9220573887502805
59,6.6028925965180925
60,4.240383543582405
61,4.295150579769563
62,4.348494343365142
63,6.809759624469269
64,7.427412936307882
65,7.1217556554773385
66,7.543800440841302
67,7.409724480724725
68,6.56096670152806
69,7.677217419300619
70,7.621054372072171
71,8.165411720200828
72,7.90515629980023
73,5.958450345064907
74,4.971626813763249
75,5.232873438028108
76,6.909816584960968
77,5.0235023193965604
78,7.551070061542898
79,7.387999635837902
80,7.504042019523311
81,8.20548370968411
82,5.363024477739473
83,9.34753642628782
84,8.620474868609154
85,7.284355884605624
86,5.404357793601064
87,8.390429203171674
88,10.312108224685776
89,6.165325519094788
90,5.522973949746826
91,7.5504688079284
92,8.135808239103213
93,10.941352047125841
94,10.542845537445139
95,9.506164705332091
96,8.398942548348549
97,8.963730633384746
98,11.470294665882081
99,6.047724914657654
100,7.14759452628418
101,6.410028758457287
102,7.762009369571977
103,9.512418714466484
104,6.960593869136633
105,6.499720357720894
106,6.666345411739941
107,11.1048529725167
108,9.313041361776255
109,7.5668571347844695
110,12.289286971621326
111,6.42572404995337
112,12.549818670326717
113,7.120888717940856
114,10.996761112141044
115,11.142630104580753
116,13.619167254107913
117,12.23435770565933
118,11.983755680988867
119,7.156087086286151
120,6.7616451785276945
121,12.582808344152195
122,10.835135108188487
123,10.283328192526815
124,12.63210255050776
125,10.146273675921968
126,13.847665037030161
127,11.69958508541286
128,8.445447015141621
129,13.135384414140951
130,12.29380022781791
131,8.145266641044909
132,13.26250250632975
133,10.18391941340776
134,15.078905509357742
135,7.080416089716133
136,11.415033925495655
137,7.5336783648136745
138,9.600238643682292
139,14.911788397392707
140,12.492507896821525
141,14.284149233539425
142,9.928574249609287
143,9.295388763663022
144,12.644250933057373
145,14.296831988697281
146,10.637110392019894
147,11.015504090825527
148,7.634882123737742
149,10.07579656529488
150,16.358203159384274
151,9.47054750511618
152,13.214395935177048
153,7.39021692666604
154,11.443013956912583
155,16.04022871844084
156,14.313900435044424
157,12.511388640514712
158,7.684950802994508
159,7.647697863403409
160,15.562167514842074
161,16.478016557892744
162,14.734293460453358
163,14.032927053942313
164,7.56554883593247
165,11.655792013418285
166,16.598847284192296
167,16.69749366637019
168,16.786415486518425
169,11.614026741256719
170,12.199277037682245
171,7.567324520672743
172,15.397377703163734
173,12.87908931311101
174,7.7614647935207355
175,7.549184696831268
176,12.65876802807349
177,14.074296445269342
178,7.582766440400858
179,8.926409253374583
180,7.522673646982186
181,7.522655843740122
182,7.534759595454627
183,7.520657053121162
184,7.605386478075023
185,12.765810755638176
186,8.50751655569872
187,9.679812761378695
188,7.45973537038701
189,10.442935318403196
190,7.442634263446981
191,7.412580318781187
192,9.287352028457489
193,7.393409853477886
194,7.3631458945772374
195,7.766425268227396
196,7.344301549462037
197,7.723636318229333
198,14.841627758494864
199,7.370388651908601
200,10.771351919165271
201,7.288773938414853
202,13.122416021658095
203,9.402013367514733
204,7.276618693941405
205,8.124833717274372
206,14.603022892963834
207,15.460316170210593
208,15.515734145075664
209,7.236537885683602
210,12.843099825345057
211,14.722585723983569
212,10.092842844566663
213,11.603027876160338
214,7.029689820381983
215,7.120820026017054
216,8.244779943867517
217,7.346079833380212
218,6.925834632034802
219,7.552322239434149
220,6.897669753321391
221,8.228603599446336
222,16.253573933249058
223,7.185662040550111
224,12.900825457724444
225,9.087200544218145
226,6.735134188103539
227,9.657065158857726
228,16.006292881055035
229,10.461931776745054
230,10.029077045590432
231,10.941131496342187
232,10.106501098164872
233,8.71965884619563
234,11.952581247703648
235,14.721179184961589
236,13.930452301563545
237,9.422814225556374
238,6.493822713651886
239,6.226733598001066
240,6.170167539454153
241,6.114233237862949
242,6.984475468331105
243,6.044396380923926
244,6.004536170043632
245,5.9500692630388095
246,5.914792084853779
247,5.8700126162350195
248,5.821657699794285
249,5.9819335398850715
250,10.648830448722006
251,11.005281479883752
252,11.578831469222353
253,8.284600057667594
254,11.854046807886071
255,8.501595153359972
256,5.791290101198423
257,5.460694592496106
258,5.41409811651918
259,5.346836326993665
260,5.33222062149573
261,8.026991496803593
262,5.252930731588561
263,6.575795342085657
264,5.119137349789331
265,5.032814513356388
266,5.95452201388857
267,6.561421204424009
268,9.222065059901766
269,4.97839633714553
270,4.965038021396263
271,4.862657025305285
272,5.4088658192768735
273,4.65606308966751
274,4.6323858119658246
275,5.250941154671368
276,4.569880966995816
277,8.254933453734495
278,8.332585430794518
279,7.617639621332847
280,4.406449428449328
281,7.43557680975111
282,4.882288238280721
283,5.882403456389168
